Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1724,2652,35,На складе
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,4427,6810,35,На складе
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Диалектика,8736,13440,35,На складе
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,218,336,35,На складе
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1995,3069,35,На складе
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,3629,5583,35,На складе
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,3174,4883,35,На складе
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,3496,5378,35,На складе
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,1995,3069,35,На складе
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,1269,1953,35,На складе
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,907,1395,35,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,2480,3179,22,На складе
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,998,1536,35,На складе
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1815,2793,35,На складе
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1815,2793,35,На складе
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1542,2372,35,На складе
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1995,3069,35,На складе
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1995,3069,35,На складе
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,3085,4746,35,На складе
,,,0,Нет старой цены,Нет скидки,
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,1399,2152,35,На складе
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Диалектика,3496,5378,35,На складе
Секреты JavaScript ниндзя,Резиг Джон и др.,Диалектика,4427,6810,35,Ограничено
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,1633,2513,35,На складе
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,2088,3212,35,На складе
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,2539,3255,22,На складе
Язык программирования C++. Базовый курс,Липпман Стенли Б. и др.,Вильямс,6174,9498,35,Ограничено
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1451,2233,35,На складе
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,6989,10752,35,На складе
Создаем нейронную сеть,Рашид Тарик,Вильямс,3496,5378,35,На складе
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1633,2513,35,Ограничено
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,1269,1953,35,Ограничено
,,,0,Нет старой цены,Нет скидки,
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика: ,5243,8066,35,На складе
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,Диалектика,3496,5378,35,На складе
JavaScript в примерах и задачах,,Эксмо-Пресс:Российский компьютерный бестселлер,1455,Нет старой цены,Нет скидки,Ограничено
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт: ,671,1033,35,На складе
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,6989,10752,35,На складе
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,6989,10752,35,На складе
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1747,2688,35,На складе
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,3496,5378,35,Ограничено
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,4427,6810,35,Ограничено
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,2302,Нет старой цены,Нет скидки,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1633,2513,35,На складе
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1415,1814,22,Ограничено
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,2086,3209,35,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2913,4482,35,На складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,2268,3489,35,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,1517,1945,22,На складе
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,Карташов Борис Александрович и др.,ДМК-Пресс,2177,3349,35,На складе
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,3496,5378,35,На складе
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2680,4123,35,Ограничено
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,3992,6141,35,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,1542,2372,35,На складе
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1530,Нет старой цены,Нет скидки,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2966,Нет старой цены,Нет скидки,На складе
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,Диалектика,2680,4123,35,На складе
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,1269,1953,35,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,1178,1813,35,На складе
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс,999,1537,35,На складе
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,2903,4466,35,На складе
Проектирование пользовательского интерфейса в Android,Клифтон Ян,ДМК-Пресс,1815,2793,35,На складе
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,8736,13440,35,Ограничено
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,6174,9498,35,На складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,816,1256,35,На складе
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),890,Нет старой цены,Нет скидки,Ограничено
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1724,2652,35,На складе
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,3496,5378,35,На складе
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,1172,Нет старой цены,Нет скидки,На складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1633,2513,35,На складе
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1802,2772,35,На складе
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1695,2607,35,Ограничено
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,1088,1674,35,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1064,Нет старой цены,Нет скидки,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1724,2652,35,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,1269,1953,35,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,1178,1813,35,На складе
Разработка обслуживаемых программ на языке Java,Виссер Джуст,ДМК-Пресс,1178,1813,35,Ограничено
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",2680,4123,35,Ограничено
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,634,976,35,Ограничено
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,998,1536,35,На складе
,,,0,Нет старой цены,Нет скидки,
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,998,1536,35,На складе
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,608,936,35,На складе
Dart в действии,Баккет Крис,ДМК-Пресс,1905,2930,35,На складе
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,2722,4187,35,Ограничено
С для программистов с введением в С11,"Дейтел Пол Дж., Дейтел Харви",ДМК-Пресс,1905,2930,35,На складе
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,1815,2793,35,На складе
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,2358,3628,35,На складе
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,1542,2372,35,На складе
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,1633,2513,35,На складе
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1995,3069,35,На складе
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,2358,3628,35,Ограничено
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,816,1256,35,На складе
,,,0,Нет старой цены,Нет скидки,
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс:Профессиональная серия от Addison-Wesley,1269,1953,35,На складе
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,1815,2793,35,На складе
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,1088,1674,35,На складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,2540,3908,35,На складе
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,2363,3636,35,На складе
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер:Для профессионалов,2266,2905,22,На складе
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,1451,2233,35,На складе
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,1633,2513,35,На складе
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,ДМК-Пресс,1905,2930,35,На складе
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,725,1115,35,На складе
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,1269,1953,35,На складе
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1633,2513,35,На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,488,750,35,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 +CD,Кравченко Алексей Владимирович,Корона-Принт,428,658,35,На складе
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,2903,4466,35,На складе
Разработка веб-приложений в ReactJS,"Хортон Адам, Вайс Райан",ДМК-Пресс,1633,2513,35,На складе
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,3085,4746,35,На складе
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,1451,2233,35,На складе
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,1542,2372,35,На складе
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,1818,2797,35,На складе
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,1542,2372,35,На складе
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс: ,1633,2513,35,На складе
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,1995,3069,35,На складе
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,4427,6810,35,Ограничено
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,816,1256,35,На складе
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1995,3069,35,На складе
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,1360,2093,35,На складе
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,1724,2652,35,На складе
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,1451,2233,35,На складе
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,1633,2513,35,На складе
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,ДМК-Пресс,2268,3489,35,На складе
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,2540,3908,35,Ограничено
Анализ больших наборов данных,Лесковец Юре и др.,ДМК-Пресс,2177,3349,35,На складе
Построение компиляторов,Вирт Никлаус,ДМК-Пресс,907,1395,35,На складе
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,1542,2372,35,На складе
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,2177,3349,35,На складе
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,1269,1953,35,На складе
Численные методы анализа и линейной алгебры. Использование Matlab и Scilab. Учебное пособие,Квасов Борис Ильич,Лань:Учебники для вузов. Специальная литература,1697,2611,35,Ограничено
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,2358,3628,35,На складе
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,700,1077,35,На складе
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,1633,2513,35,На складе
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,907,1395,35,На складе
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,306,470,35,На складе
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,816,1255,35,Ограничено
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1747,2688,35,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,2098,3227,35,На складе
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1747,2688,35,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,2098,3227,35,На складе
,,,0,Нет старой цены,Нет скидки,
Java EE 7. Основы,Гупта Арун,Вильямс,1048,1613,35,Ограничено
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,1048,1613,35,На складе
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1747,2688,35,Ограничено
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,3496,5378,35,Ограничено
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1747,2688,35,На складе
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1399,2152,35,Ограничено
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,933,1435,35,Ограничено
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,350,539,35,Ограничено
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,582,896,35,Ограничено
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,2680,4123,35,Ограничено
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,1451,2233,35,На складе
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,256,394,35,Ограничено
,,,0,Нет старой цены,Нет скидки,
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,558,858,35,Ограничено
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1367,2103,35,Ограничено
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1297,1996,35,Ограничено
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1442,2218,35,Ограничено
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,1360,2093,35,На складе
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,1269,1953,35,На складе
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс:Теория программирования,1451,2233,35,На складе
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,1178,1813,35,На складе
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,1451,2233,35,На складе
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,922,Нет старой цены,Нет скидки,На складе
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,242,372,35,На складе
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,2079,3198,35,Ограничено
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,1178,1813,35,На складе
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,1995,3069,35,На складе
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,1360,2093,35,На складе
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,2427,Нет старой цены,Нет скидки,На складе
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,908,1397,35,На складе
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,2358,3628,35,Ограничено
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс: ,1178,1813,35,На складе
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,1542,2372,35,На складе
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,1088,1674,35,На складе
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,1995,3069,35,Ограничено
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1995,3069,35,На складе
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс: ,755,1162,35,Ограничено
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,1633,2513,35,На складе
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),2735,3506,22,На складе
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,2540,3908,35,На складе
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1816,2794,35,На складе
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,1542,2372,35,На складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1815,2793,35,На складе
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,1542,2372,35,На складе
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,2358,3628,35,На складе
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,1360,2093,35,На складе
Программирование в Clojure. Практика применения Lisp в мире Java,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,3085,4746,35,На складе
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,998,1536,35,На складе
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,725,1115,35,На складе
OpenGL 4. Язык шейдеров. Книга рецептов,Вольф Дэвид,ДМК-Пресс,2177,3349,35,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,1815,2793,35,На складе
Программирование микроконтроллеров ATMEL на языке C,Прокопенко Вадим Сергеевич,Корона-Принт,915,1408,35,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1633,2513,35,На складе
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,1301,2001,35,На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,1451,2233,35,На складе
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,1633,2513,35,На складе
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,609,937,35,На складе
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,480,739,35,На складе
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1815,2793,35,На складе
,,,0,Нет старой цены,Нет скидки,
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл Грант С. и др.,ДМК-Пресс:Программирование в действии,1360,2093,35,На складе
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,1542,2372,35,На складе
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,634,976,35,На складе
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином: ,1219,1876,35,Ограничено
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,1815,2793,35,На складе
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,1257,Нет старой цены,Нет скидки,На складе
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,601,Нет старой цены,Нет скидки,На складе
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,725,1115,35,На складе
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1815,2793,35,Ограничено
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш Грегори, Фатика Массимилиано",ДМК-Пресс,1088,1674,35,На складе
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,1451,2233,35,На складе
.NET Сетевое программирование,Кумар Винод и др.,Лори,1137,1749,35,На складе
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,725,1115,35,На складе
Java. Эффективное программирование,Блох Джошуа,Лори,1005,1546,35,На складе
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,1178,1813,35,На складе
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс:Все о LabVIEW,907,1395,35,На складе
,,,0,Нет старой цены,Нет скидки,
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс:Библиотека студента,289,445,35,На складе
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,1088,1674,35,На складе
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,757,1165,35,На складе
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори Кейт, Миллер Эйд",ДМК-Пресс,1269,1953,35,Ограничено
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,832,1280,35,Ограничено
Структуры данных и алгоритмы в Java. Классика Computers Science,Лафоре Роберт,Питер:Классика computer science,2830,3628,22,На складе
"Звуковой дизайн в видеоиграх. Технология ""игрового"" аудио для непрограммистов",Деникин Антон Анатольевич,ДМК-Пресс,1995,3069,35,На складе
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,677,1042,35,На складе
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,1392,2142,35,На складе
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1384,Нет старой цены,Нет скидки,На складе
Разработка приложений на С++ в среде MATLAB (+CD),Подкур М.Л. и др.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,604,929,35,На складе
Silverlight. Практическое руководство,Браун Пит,Питер,1399,1793,22,На складе
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1135,1555,27,На складе
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо:Мировой компьютерный бестселлер,2178,Нет старой цены,Нет скидки,На складе
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С:1С: Предприятие 8.2,226,347,35,На складе
"Как настраивать ""1С: Предприятие 8.2"" при внедрении +СD",Ажеронок Валентин Александрович,1С:1С: Предприятие 8.2,218,336,35,На складе
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт: ,269,414,35,На складе
